window,strategy,slice_by,slice,bets,won,lost,staked,net_pnl,roi_pct,win_rate,avg_edge_pct
all_prior,"Value (+EV, flat)",round,R64,326,130,196,3260.0,324.46,10.0,39.9,9.7
all_prior,"Value (+EV, flat)",round,R32,173,85,88,1730.0,-10.89,-0.6,49.1,9.7
all_prior,"Value (+EV, flat)",round,S16,87,40,47,870.0,-131.47,-15.1,46.0,11.3
all_prior,"Value (+EV, flat)",round,E8,43,20,23,430.0,54.27,12.6,46.5,12.2
all_prior,"Value (+EV, flat)",round,F4,8,6,2,80.0,41.63,52.0,75.0,9.5
all_prior,"Value (+EV, flat)",round,Championship,4,2,2,40.0,-9.94,-24.9,50.0,7.0
last_10_years,"Value (+EV, flat)",round,R64,335,133,202,3350.0,302.52,9.0,39.7,9.6
last_10_years,"Value (+EV, flat)",round,R32,170,84,86,1700.0,-12.76,-0.8,49.4,10.1
last_10_years,"Value (+EV, flat)",round,S16,84,37,47,840.0,-163.44,-19.5,44.0,12.0
last_10_years,"Value (+EV, flat)",round,E8,44,21,23,440.0,74.01,16.8,47.7,12.5
last_10_years,"Value (+EV, flat)",round,F4,8,6,2,80.0,41.63,52.0,75.0,8.2
last_10_years,"Value (+EV, flat)",round,Championship,4,2,2,40.0,-9.94,-24.9,50.0,7.1
last_1_year,"Value (+EV, flat)",round,R64,353,139,214,3530.0,36.46,1.0,39.4,13.9
last_1_year,"Value (+EV, flat)",round,R32,173,90,83,1730.0,6.52,0.4,52.0,14.2
last_1_year,"Value (+EV, flat)",round,S16,86,44,42,860.0,-54.52,-6.3,51.2,13.5
last_1_year,"Value (+EV, flat)",round,E8,45,18,27,450.0,-89.31,-19.8,40.0,16.9
last_1_year,"Value (+EV, flat)",round,F4,8,5,3,80.0,15.91,19.9,62.5,11.8
last_1_year,"Value (+EV, flat)",round,Championship,4,2,2,40.0,-13.96,-34.9,50.0,11.6
last_3_years,"Value (+EV, flat)",round,R64,341,135,206,3410.0,145.91,4.3,39.6,11.3
last_3_years,"Value (+EV, flat)",round,R32,178,84,94,1780.0,-160.98,-9.0,47.2,12.1
last_3_years,"Value (+EV, flat)",round,S16,83,36,47,830.0,-204.9,-24.7,43.4,12.5
last_3_years,"Value (+EV, flat)",round,E8,38,16,22,380.0,15.22,4.0,42.1,13.2
last_3_years,"Value (+EV, flat)",round,F4,7,4,3,70.0,12.63,18.0,57.1,8.4
last_3_years,"Value (+EV, flat)",round,Championship,3,2,1,30.0,-3.96,-13.2,66.7,4.0
last_5_years,"Value (+EV, flat)",round,R64,341,141,200,3410.0,409.88,12.0,41.3,9.6
last_5_years,"Value (+EV, flat)",round,R32,173,75,98,1730.0,-212.44,-12.3,43.4,9.9
last_5_years,"Value (+EV, flat)",round,S16,84,36,48,840.0,-173.95,-20.7,42.9,12.0
last_5_years,"Value (+EV, flat)",round,E8,44,19,25,440.0,19.69,4.5,43.2,12.5
last_5_years,"Value (+EV, flat)",round,F4,7,4,3,70.0,11.13,15.9,57.1,9.7
last_5_years,"Value (+EV, flat)",round,Championship,4,2,2,40.0,-9.94,-24.9,50.0,7.1
all_prior,"Value (+EV, flat)",seed,1–4,204,130,74,2040.0,-56.29,-2.8,63.7,11.2
all_prior,"Value (+EV, flat)",seed,5–8,180,86,94,1800.0,-88.95,-4.9,47.8,10.7
all_prior,"Value (+EV, flat)",seed,9–12,123,51,72,1230.0,217.3,17.7,41.5,8.9
all_prior,"Value (+EV, flat)",seed,13–16,134,16,118,1340.0,196.0,14.6,11.9,8.7
last_10_years,"Value (+EV, flat)",seed,1–4,205,130,75,2050.0,-64.52,-3.1,63.4,11.3
last_10_years,"Value (+EV, flat)",seed,5–8,180,87,93,1800.0,-73.1,-4.1,48.3,10.9
last_10_years,"Value (+EV, flat)",seed,9–12,122,49,73,1220.0,177.63,14.6,40.2,9.2
last_10_years,"Value (+EV, flat)",seed,13–16,138,17,121,1380.0,192.0,13.9,12.3,8.6
last_1_year,"Value (+EV, flat)",seed,1–4,224,141,83,2240.0,-148.63,-6.6,62.9,13.4
last_1_year,"Value (+EV, flat)",seed,5–8,189,95,94,1890.0,-53.5,-2.8,50.3,15.0
last_1_year,"Value (+EV, flat)",seed,9–12,116,51,65,1160.0,143.84,12.4,44.0,13.0
last_1_year,"Value (+EV, flat)",seed,13–16,140,11,129,1400.0,-40.6,-2.9,7.9,15.0
last_3_years,"Value (+EV, flat)",seed,1–4,210,135,75,2100.0,-102.46,-4.9,64.3,11.6
last_3_years,"Value (+EV, flat)",seed,5–8,182,81,101,1820.0,-293.17,-16.1,44.5,12.6
last_3_years,"Value (+EV, flat)",seed,9–12,117,43,74,1170.0,-30.84,-2.6,36.8,11.1
last_3_years,"Value (+EV, flat)",seed,13–16,141,18,123,1410.0,230.4,16.3,12.8,11.3
last_5_years,"Value (+EV, flat)",seed,1–4,210,129,81,2100.0,-152.82,-7.3,61.4,10.7
last_5_years,"Value (+EV, flat)",seed,5–8,182,81,101,1820.0,-238.18,-13.1,44.5,11.2
last_5_years,"Value (+EV, flat)",seed,9–12,121,50,71,1210.0,182.38,15.1,41.3,9.3
last_5_years,"Value (+EV, flat)",seed,13–16,140,17,123,1400.0,253.0,18.1,12.1,8.8
