method,edge_pts,placed,won,lost,push,net_pnl,total_wagered,roi_pct,cover_pct
pit,0.0,471,289,182,6,8072.73,47100.0,17.1,61.4
pit,1.0,387,246,141,5,8263.64,38700.0,21.4,63.6
pit,2.0,310,197,113,5,6609.09,31000.0,21.3,63.5
pit,3.0,232,152,80,5,5818.18,23200.0,25.1,65.5
pit,5.0,108,77,31,1,3900.0,10800.0,36.1,71.3
agg,0.0,718,471,247,13,18118.18,71800.0,25.2,65.6
agg,1.0,536,378,158,10,18563.64,53600.0,34.6,70.5
agg,2.0,384,285,99,5,16009.09,38400.0,41.7,74.2
agg,3.0,247,192,55,4,11954.55,24700.0,48.4,77.7
agg,5.0,106,92,14,0,6963.64,10600.0,65.7,86.8
